bbe585ed-0ec3-44b3-b162-88c6fc08f645,2031.5,-60.0,-422.5
bbe585ed-0ec3-44b3-b162-88c6fc08f645,3469.5,-60.0,-732.5
bbe585ed-0ec3-44b3-b162-88c6fc08f645,4716.5,-60.0,3522.5
8b382824-6bee-4b47-b93e-77d484bd0183,4449.5,33.0,-871.5
8b382824-6bee-4b47-b93e-77d484bd0183,-4715.5,59.0,-3819.5
df60522c-9a25-48de-819a-9dd3432a8bd7,8189.5,66.0,-27.5
df60522c-9a25-48de-819a-9dd3432a8bd7,-5792.5,61.0,-4148.5
df60522c-9a25-48de-819a-9dd3432a8bd7,3568.5,59.0,1856.5
611c6864-76a9-492b-8bdf-5ae53597e639,568.5,78.0,-965.5
611c6864-76a9-492b-8bdf-5ae53597e639,1301.5,131.0,-2525.5
611c6864-76a9-492b-8bdf-5ae53597e639,-961.5,71.0,4572.5
